Subject,Stim,Condition,StimSoundIn1.Filename,SubTrialList.Cycle,SubTrialList.Sample,SubTrialList,phonetic_cons,semantic_trans,frequency,correctRT,accuracy,log_F.base10.,acc_rate,PhonN
5,鉅,phsl,behavioral_naming-5-1Stim-130.wav,3,90,10,consistent,opaque,2346,698,0,3.370328008,0.05625,8
5,鯨,plsl,behavioral_naming-5-1Stim-131.wav,3,91,11,inconsistent,opaque,837,506,0,2.922725458,0.05625,6
5,蕾,phsl,behavioral_naming-5-1Stim-132.wav,3,92,12,consistent,opaque,315,853,0,2.498310554,0.05625,3
5,糕,plsh,behavioral_naming-5-1Stim-133.wav,3,93,13,inconsistent,transparent,373,637,0,2.571708832,0.05625,3
5,搖,phsh,behavioral_naming-5-1Stim-134.wav,3,94,14,consistent,transparent,1431,567,0,3.155639634,0.05625,5
5,拂,plsl,behavioral_naming-5-1Stim-135.wav,3,95,15,inconsistent,opaque,86,541,0,1.934498451,0.05625,7
5,喚,phsh,behavioral_naming-5-1Stim-136.wav,3,96,16,consistent,transparent,438,633,0,2.641474111,0.05625,5
5,棍,plsl,behavioral_naming-5-1Stim-137.wav,3,97,17,inconsistent,opaque,628,574,0,2.797959644,0.05625,7
5,鶴,plsh,behavioral_naming-5-1Stim-138.wav,3,98,18,inconsistent,transparent,650,735,0,2.812913357,0.05625,3
5,撲,phsh,behavioral_naming-5-1Stim-139.wav,3,99,19,consistent,transparent,3915,NaN,1,3.592731766,0.05625,6
5,概,plsl,behavioral_naming-5-1Stim-140.wav,3,100,20,inconsistent,opaque,1022,901,0,3.009450896,0.05625,4
5,抵,phsh,behavioral_naming-5-1Stim-141.wav,3,101,21,consistent,transparent,38803,1209,0,4.588865304,0.05625,11
5,氧,plsh,behavioral_naming-5-1Stim-142.wav,3,102,22,inconsistent,transparent,2301,671,0,3.361916619,0.05625,11
5,鎚,phsh,behavioral_naming-5-1Stim-143.wav,3,103,23,consistent,transparent,51,564,0,1.707570176,0.05625,3
5,蝸,plsl,behavioral_naming-5-1Stim-144.wav,3,104,24,inconsistent,opaque,12,808,0,1.079181246,0.05625,11
5,舵,plsl,behavioral_naming-5-1Stim-145.wav,3,105,25,inconsistent,opaque,279,997,0,2.445604203,0.05625,9
5,坑,plsh,behavioral_naming-5-1Stim-146.wav,3,106,26,inconsistent,transparent,2593,584,0,3.413802517,0.05625,8
5,嘰,phsl,behavioral_naming-5-1Stim-147.wav,3,107,27,consistent,opaque,49,634,0,1.69019608,0.05625,6
5,誤,plsl,behavioral_naming-5-1Stim-148.wav,3,108,28,inconsistent,opaque,4650,576,0,3.667452953,0.05625,3
5,搜,plsh,behavioral_naming-5-1Stim-149.wav,3,109,29,inconsistent,transparent,1203,770,0,3.080265627,0.05625,8
5,柄,phsh,behavioral_naming-5-1Stim-150.wav,3,110,30,consistent,transparent,390,595,0,2.591064607,0.05625,3
5,咳,plsl,behavioral_naming-5-1Stim-151.wav,3,111,31,inconsistent,opaque,471,702,0,2.673020907,0.05625,11
5,檔,phsl,behavioral_naming-5-1Stim-152.wav,3,112,32,consistent,opaque,5505,905,0,3.740757323,0.05625,5
5,裱,phsh,behavioral_naming-5-1Stim-153.wav,3,113,33,consistent,transparent,55,1902,0,1.740362689,0.05625,4
5,赴,plsh,behavioral_naming-5-1Stim-154.wav,3,114,34,inconsistent,transparent,124761,925,0,5.096078847,0.05625,5
5,茗,phsl,behavioral_naming-5-1Stim-155.wav,3,115,35,consistent,opaque,20,1241,0,1.301029996,0.05625,3
5,綻,plsh,behavioral_naming-5-1Stim-156.wav,3,116,36,inconsistent,transparent,102,878,0,2.008600172,0.05625,5
