character	SemRadical_Id_Cld	sem_trans	semN
懸	133	0.057007769	109
柴	33	0.051324106	136
適	126	0.053344831	70
怎	133	0.052748569	109
窩	184	0.045570655	17
陷	129	0.039768862	46
鮮	111	0.040931951	13
驗	108	0.052180199	25
豈	223	0.026813559	5
織	128	0.053567936	91
究	184	0.063782431	17
效	144	0.065169303	26
癮	141	0.05463517	31
秀	59	0.064620686	32
鉛	96	0.058587631	79
觸	79	0.063869337	4
嗨	9	0.074118667	224
袋	140	0.052710343	33
婦	13	0.071907432	59
墳	10	0.052018807	67
瓦	49	0.032138393	5
肚	122	0.058991917	75
獅	139	0.061706167	26
震	197	0.05258073	18
挾	127	0.060692184	221
漏	125	0.05898749	171
棋	33	0.050274097	136
陰	129	0.047171247	46
審	162	0.048797245	42
魔	110	0.10947333	5
嘍	9	0.073423321	224
窯	184	0.063329518	17
託	80	0.050964972	80
瞞	55	0.079865551	41
